Siecle,Nationalite,Philosophe,Texte,Oeuvre,Citation,Image,art,autrui,bonheur,conscience,corps,culture,désir,devoir,droit,échanges,État,histoire,idée,illusion,imagination,inconscient,jugement,justice,langage,liberté,logique,morale,mémoire,métaphysique,mort,nature,passions,pouvoir,politique,religion,science,sens,technique,temps,travail,vérité,violence,volonté
XVIIe siecle,Français,Blaise Pascal,"L'homme est vide, vaniteux, emplie de vacuité. L'inconsistance domine la nature humaine. 
Amour Propre: n'aimer que soi, ne considérer que soi"". 
Le divertissement: tout activité (y compris le travail) qui vise à s'écarter de l'ennui qui rappelle à l'homme son néant. Interdit la réflexion. Seule la foi permet à l'homme d'échapper durablement à son inconsistance et connaître la félicité. La Foi est la complicité avec Dieu.
Le Pari de Pascal: On a est gagnant à croire en Dieu dans tous les cas. Soit il existe et on atteindra la félicité absolue, soit il n'existe pas et on ne perd rien à agir moralement avec foi. 
Art de convaincre: Utilisé dans ""Les Pensées"" pour convaincre les incroyants de croire en Dieu. Il y utilise les deux notions 1-Convaincre; faire appel à la Raison (au cerveau rationnel) et 2- Persuader; Faire appel au sentiment (au cœur irrationnel)",,,https://upload.wikimedia.org/wikipedia/commons/9/98/Blaise_Pascal_Versailles.JPG,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,
XVIIIe siecle,Français,Cesar_Chesneau Dumarsais,"Les philosophes ne sont pas des stoïciens qui méprisent les plaisirs, il faut ""un honnête superflu nécessaire à un honnête homme"". La recherche de la satisfaction est aussi la recherche du bonheur. ""L'indolence n'est pas une vertu""",,,https://upload.wikimedia.org/wikipedia/commons/f/f6/C%C3%A9sar_Chesneau_Dumarsais.jpg,,,x,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
XVIIIe siecle,Français,Charles_Marie de_La_Condamine,"Medecin de profession, La Condamine assiste incognito a une horrible crucifiction réalisé dans la secte des convulsionnaires de Saint Médard. Il raconte les détails sordides d'une femme qui suit les traditions autours de nombreux membres de haut rang. Dans cette secte, les membres pensent que les cobayes ne souffrent pas, qu'ils éprouvent du plaisir, que Dieu l'a voulu ainsi et que seules les femmes doivent excommunier leur péchés de cette façon. Il conclut par : ""La seule merveille que je puisse rendre témoignage, c'est de la constance et du courage que le fanatisme peut inspirer"".",,,https://upload.wikimedia.org/wikipedia/commons/d/d2/Charles_Marie_de_La_Condamine.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
IIe siecle BC,Romain,Ciceron,"Pour Ciceron, la verite est hors de portée. Toutes les doctrines auraient chacune une probabilité d'être vraie ou en partie vraie; son travail consista en la redaction d'une synthèse de toutes les doctrines alors existantes dans la recherche du bonheur et de la vérité pour les refûter une a une.",,,https://upload.wikimedia.org/wikipedia/commons/9/9a/M-T-Cicero.jpg,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,
IIe siecle BC,Romain,Ciceron,Ciceron voit en la religion une utilité politique.,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/M-T-Cicero.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,
XVIIIe siecle,Français,Comte_de Buffon,"Il démonte l'origine du monde biblique supposé récente en présentant 5 grands arguments scientifiquement démontrés qui repousserait l'âge de la Terre à plusieurs millions d'années : 
1) La Terre est applatie sur les pôles démontrée grâce à l'expérience du pendule et les expéditions de la Condamine et de la Mettrie. 
2) La Terre a un noyau chaud indépendant de la chaleur du soleil (dans les mines, sur tous les points de la Terre, plus on descend plus il fait chaud), 
3) La chaleur de la terre est plus forte que les rayons du soleil (la neige fond là où la vapeur de la Terre sort, et la lave liquéfie la matérie), 
4) La pression et la chaleur créé dans les globe terrestre les métaux et pierres précieuses (fait de ""verre"") et enfin 
5) La mer recouvrait dans des temps anciens des montagnes car on retrouve des coquillages marins dans le haut des montagnes partout sur la planète. 
A la fin, Buffon fait une revisite de la lecture de la Bible de la même manière que [La Formule de Dieu] de Dos Santos.Buffon, intendant du Jardin du Roi, l'actuel Jardin des plantes, se questionne et invite les lecteurs a la reflexion suite a l'elargissement des connaissances géologiques de la Terre et son origine. La Terre a t'elle bien ete creee en 6 jours? ",,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Buffon_1707-1788.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
XVIIIe siecle,Britannique,David Hume,"Empirisme: la connaissance dérive de l'expérience sensible. La metaphysique englobe les notions de perceptions et d'impressions (force vive comme le sentiment, l'émotion,…) ainsi que les idées (impressions affaiblies). L'Imagination entraine le jeu d'association d'idées, cherchant des causalités là où il n'y a que corrélation, trompée par l""habitude"". Le scepticisme de Hume stipule que notre imagination nous conduit à avoir une mauvaise interprétation des causes d'un événement par l'habitude",,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Allan_Ramsay_-_David_Hume%2C_1711_-_1776._Historian_and_philosopher_-_Google_Art_Project.jpg,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,x,,,,x,,
XVIIIe siecle,Français,Denis Diderot,"La philosophie doit s'inspirer des sciences (comme Descartes), pour éclairer des théories et rechercher des principes métaphysiques, via l'expérience. 
",,,https://upload.wikimedia.org/wikipedia/commons/6/63/Denis_Diderot_111.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
XVIIIe siecle,Français,Denis Diderot,"Ni innée, ni issue de Dieu, comment fonder la morale? Réponse : suivre la nature et écouter son instinct (bon sens). C'est bien la société qui humanise les tendances individuelles et fonde la morale pour asujettir les intérêt privés au nom de l'intérêt commun. ",,,https://upload.wikimedia.org/wikipedia/commons/6/63/Denis_Diderot_111.PNG,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
XVIIIe siecle,Français,Denis Diderot,"Diderot ecrit un echange fascinant truffé de citations avec un aveugle sur sa conception de la vue. Comment décrire le caractère fantastique d'un miroir ou d'un microscope a un aveugle, qui ne peut qu'imaginer vaguement ces objets? Cependant celui avec lequel Dideroit échange les conçoit très bien en comparant ces concepts avec le sens du touché. Autrement, qu'est ce que la beauté pour un aveugle si ce n'est ce qui est bon au toucher ou au goût? Il découvre que l'aveugle a développé bien plus ses autres sens que lui et que finalement il le dépasse en bien des points. ",,,https://upload.wikimedia.org/wikipedia/commons/6/63/Denis_Diderot_111.PNG,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,
XVIIIe siecle,Français,Denis Diderot,"La nature est constituée de matière. La matière est formée d'atomes hétérogènes dont le mouvement n'a pas besoin d'impulsion divine. Les molécules sont similaires pour tous les être, animaux, végétaux ou inertes. La conscience elle-même est composée de matière. De façon aléatoire, les molécules forment des organismes qui peuvent prospérer ou s'éteindre, prouvant ainsi soit Dieu n'existe pas, soit le ""grand horloger"" est ""malhabile"" (incompatible aux attributs divins).Article Menace - ",,,https://upload.wikimedia.org/wikipedia/commons/6/63/Denis_Diderot_111.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,
XVIIIe siecle,Français,Denis Diderot,"[Encyclopédie] Diderot utilise l'article pour encourager ses amis écrivains et leur donner le courage face aux menaces des censeurs.
[Essai sur la vie de Sénèque] : echange imaginaire avec Sénèque : la but de la vie du philosophe n'est pas d'échapper à l'action mais au contraire de faire son éloge et la sublimer.La raison a pour origine la physiologie (le langage) et la société (pour se développer il faut autrui). (mélange de l'inné et acquis)
[Les Bijoux indiscrets:] Méthaphorise via les rêves du sultan Mangogul pour initier à la philosophie (des Anciens). Il y dénonce les sectes qui peuvent s'entretuer pour des idées fausses en métaphorant la secteur de ceux qui ont deux nez et ceux qui ont deux trous au cul.Jacques le fatalisteCasse les codes de démarage d'un roman en oubliant volontairement de poser le décor. Car ""Où allaient il? Est-ce que l'on sait où l'on va?""
[Le Neuveu de Rameau]: Dialogue entre Moi (Philosophe) et Lui (neuveu) sur l'apport des hommes de génie à l'humanité dans leur mort malgré les vices de leur vivant. ""C'est qu'il faut qu'il y ait un grand nombre d'hommes qui s'y appliquent pour faire sortir l'homme de génie""
[Encyclopédie] - article Préjugés : Opinion sans jugement. Dideroit distingue les préjugés nécessaires et universels (respecter les lois, éduquer les enfants) et les préjugés des sens (le soleil est bien plus gros qu'il n'apparait dans le ciel), le préjugés physiques (le rouge de l'ecrevisse malgré sa couleur n'est pas bonne pour le sang, ni les anguilles pour les paralysies.), les préjugés historisques (Romulus et Rémus ou Clovis) et enfin les préjugés religieux. (persécutions)
[Encyclopédie] - article Boa : Le boa n'est pas un animal qui peut avaler un bœuf comme le veut la légende. Il démonte les historiens qui relatent des faits mensongés. ""Ceux qui ont avancé qu'il pouvait manger un bœuf ne méritent qu'on rapporte leur sentiment que pour montrer jusqu'où peut aller l'exagération.""
[Encyclopédie] - article Fantôme: Ce n'est qu'une interprétation d'un mirage physique. Il dénonce les miracles ou démons de la religion dans un article supposé annodin. ""C'est la mauvaise éducation qui produit ces fantômes, c'est l'expérience et la philosophie qui les dissipent.""Article Macération - Encyclopédie: Diderot critique de cette pratique ascétique, ""Les hommes ont partout des peines, et ils ont très naturellement conclu que les douleurs des êtres sensibles donnaient un spectacle agréable à Dieu""
Article Capuchon - Encyclopédie: Vive critique des ordres religieux, superstitieux, se querellant pour une simple capucheTrouver du plaisir dans l'étude des sciences : ""plus on s'approche de la vérité, plus on la trouve charmante""L'Art imite la nature présuposant un idéal. Le modèle n'est pas le vrai mais semblable au vrai. Le beau n'est pas un plaisir spontanné mais un plaisir réfléchi dans l'imitation.",,,https://upload.wikimedia.org/wikipedia/commons/6/63/Denis_Diderot_111.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIXe siecle,Allemand/Autrichien,Edmund Husserl,"L'intentionalité de la conscience: la conscience, par un élan, se tend vers les choses. C'est-a-dire qu'on suppose la conscience comme ouverte au monde extérieur. 
",,,https://upload.wikimedia.org/wikipedia/commons/8/8d/Edmund_Husserl_1910s.jpg,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIXe siecle,Allemand/Autrichien,Edmund Husserl,"L'égo transcendantal: tout se construit sur une co-existence. Je me construit dans les autres, et les autres se construisent dans moi. Ainsi, les autres ont un sens pour moi. 
",,,https://upload.wikimedia.org/wikipedia/commons/8/8d/Edmund_Husserl_1910s.jpg,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIXe siecle,Allemand/Autrichien,Edmund Husserl,"Redonner le sens du monde: la crise des sciences européennes, la crise des cultures et de l'identité (européenne) conduisent à revenir vers une philosophie des ""choses mêmes"", la fin de la chose en soi mais pas dans son caractère utilitaire. ",,,https://upload.wikimedia.org/wikipedia/commons/8/8d/Edmund_Husserl_1910s.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
XIXe siecle,Allemand/Autrichien,Edmund Husserl,"La Phénoménologie Ou science des phénomènes consiste en voir la philosophie comme une science rigoureuse, fondamentale. ""Revenir aux choses mêmes"", la metaphysique se porte non pas sur des faits mais sur l'essence des choses. Husserl s'oppose au positivisme, a l'empirisme, ay cartésiennisme, et au physicalisme. La véritable connaissance porte sur la façon de voir les choses dans l'absolu. Il parle de Réduction eidétique: Faire fi de l'expérience pour se concentrer sur les essences pures. La Réduction phénoménologique ou époché est de ne pas porter de jugement.",,,https://upload.wikimedia.org/wikipedia/commons/8/8d/Edmund_Husserl_1910s.jpg,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,x,,,,,x,,
XIXe siecle,Français,Emile Durkheim,"Tout est produit de l'Histoire (la religion, la morale, …). Université de Bordeaux: première université française à avoir un département de sociologie indépendante en 1890.
La sociologie: etude des institutions, de leur origine et leur fonctionnement.
Une Institution: ""Toute croyance ou tous les modes de conduite institués par la collectivité""
La société: ""Ensemble d'idées de croyances et de sentiments de toutes sortes qui se réalisent par les individus"", née dans la fusion des échanges individuels. Elle est un tout différente de la somme des parties. C'est pour cela qu'on ne peut faire l'étude de la société avec une approche individualiste (psychologique ou biologique).
Le Fait Social: Conscience collective d'une société. Manière d'agir ou de penser qui s'impose à l'individu.",,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Durkheim-vignette-png-9.png,,,,x,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
XVIIIe siecle,Allemand,Emmanuel Kant,"Kant cherche à répondre à 3 questions : 1-Que puis-je connaître? 2-Que dois-je connaître? 3-Que m'est-il permis d'espérer? [Fondements de la métaphysique des mœurs]: Kant definie la ""Bonne volonté"" comme une intention absolument pure, bonne sans restriction. Autrement dit, c'est une pensée intrinsèquement bonne, recherchee pour elle meme.
",,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Kant_gemaelde_3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
XVIIIe siecle,Allemand,Emmanuel Kant,"Le ""Devoir"" est, quant a lui, l'action de la bonne volonté.C'est l'action intrinsèquement bonne. Ce que Kant va definir comme l'""impératif catégorique"".
L'""Impératif hypothétique"", a l'inverse, nécessite une hypothèse, une condition. Autrement dit, on fait une action pour son caractère extrinsèque.
L'""Universalité des lois"": 
1) « Agis de telle sorte que ta maxime devienne une loi universelle », s'accorde à tous, sans restriction. 
2) Alors que les choses sont des moyens, les personnes sont des fins en soi. 
L'"" Autonomie"": La volonté obéissant au devoir est, enfin, une volonté autonome, trouvant en elle-même sa loi. C'est obéir à sa propre loi. 
L'""hétéronomie"" a contrario c'est obéir à une loi ne venant pas de la volontéArticle ""Qu'est ce que les lumières"": [Journal Berlinische Monatschrift] : Les lumières sont là pour faire sortir l'homme de sa minorité et l'élever en adulte. Aucun despotisme religieux ou autoritaire ne peut éloigner les hommes de cet objectif. Il leur faudra faire ""un usage public de la raison"" (et non pas privé cf. soldat dans l'armée qui discute les ordres).
",,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Kant_gemaelde_3.jpg,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x
XVIIIe siecle,Allemand,Emmanuel Kant,"[Critique de la raison pure]: La Raison, au sens large, désigne, chez Kant, tout ce qui, dans la pensée, est a priori et ne vient pas de l’expérience. La raison, dite pure ou spéculative, désignant la raison théorique, concerne le savoir. La raison pratique, elle, désigne la raison qui contient la règle de la moralité, utile pour l'action. 
La révolution copernicienne: de même que Copernic a supposé que la Terre tournait autour du Soleil, de même Kant admet que c’est notre faculté de connaître qui organise la connaissance, et non pas les objets qui la déterminent. A priori, c'est qui est indépendant de l’expérience. L'espace et le temps sont des formes a priori de la sensibilité, structures intuitives qui ordonnent les objets.
Entendement: faculté reliant les sensations grâce à des catégories, ou concepts purs, 
Logique transcendante: Etudes des formes de l'entendement, catégoriser par le sensible
Noumène: Désigne les choses qui peuvent être pensées mais pas connues, les choses en soi, innateignable (comme Dieu)
Idée de la raison: Objet purement théorique, qui ne peut être démontré ni senti (Âme, Dieu)Hypothèse issue de la raison pratique: L’espérance d’une autre vie après la mort et d’un Dieu justicier, se rattache, en effet, à une exigence pratique. Ces postulats sont nécessaires pour agir moralement",,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Kant_gemaelde_3.jpg,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
XVIIIe siecle,Allemand,Emmanuel Kant,"La faculté de juger d’un objet ou d’une représentation par une satisfaction dégagée de tout intérêt. Autrement dit, le bien intrinsèque d'un objet apporté aux sens Faire son devoir (en terme kantien), C'est aller dans le sens de l'impératif catégorique. Le bonheur consiste a agir moralement.",,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Kant_gemaelde_3.jpg,,,x,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
IVe siecle,Grec,Epicure,"Le Matérialisme antique: Tout est matériel, y compris l'âme humaine. 
La canonique: Règles concernant la vérité. Le réel prévaut sur les idées. Synonyme de sensualiste.
La Physique épicurienne: Représentation du monde, composé d'atome et de mouvement dans le vide. Il appelle Clinamen la force qui dévit les atomes de leur trajectoire d'apesanteur, de chute. Cela conduit à la liberté humaine. 
L'Ame épicurienne: pour Epicure, l'âme est constituée de matière. C'est une partie du corps comme les pieds ou les oreilles. 
La mort épicurienne: dissolution des atomes du corps. Simple fait physiologique. Aucune une fin tragique.Fondateur de l'ecole epicurienne, dite ""Le Jardin""Le plaisir épicurien reside dans la jouissance du corps. Il consiste en l'ataraxie (Absence de souffrance). ",,,https://upload.wikimedia.org/wikipedia/commons/8/88/Epikouros_BM_1843.jpg,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,
IVe siecle,Grec,Epicure,"Le Désir est fait de 3 types : naturel et nécessaire (eau), naturel et pas nécessaire (vin), ni naturel ni nécessaire (gloire). ",,,https://upload.wikimedia.org/wikipedia/commons/8/88/Epikouros_BM_1843.jpg,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XVIIIe siecle,Français,Etienne_Bonnot de_Condillac,"Condillac examine magistralement une statue vivante qui n'aurait qu'un seul sens : l'odorat. 
Elle contractera des habitudes 
1) Celle de donner son attention (sur un seul sens), 
2) Celle de se ressouvenir par le processus de la mémoire d'une odeur particuliere, 
3) Celle de comparer (des odeurs) 
4) Celle de porter un jugement (une odeur est bonne agréable ou mauvaise désagréable), 
5) Celle de l'imagination (la mémoire est une sensation forte, l'imagination est une sensation faible qui procure cependant les mêmes effets que le fait de sentir en soi)
6) et enfin celle de reconnaître (distinguer les odeurs).",,,https://upload.wikimedia.org/wikipedia/commons/b/b4/Etienne_de_Condillac.jpg,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,
XVIe siecle,Britannique,Francis Bacon,"Contraire au syllogisme, Bacon s'appuie sur l'observation, la logique fondée sur l'expérience pour pouvoir en vérifier la certitude. Il est l'un des fondateurs de l'empirisme et combat la scolastique. La physique pour Bacon est un esprit scientifique qui vise à connaître les lois régissant la nature pour la maîtrise. Pour être juste, la science se doit d'être empirique et expérimentale. Il démonte les sciences sans fondement décrites par Aristote et prône la tolérance religieuse voire l'athéisme ""qui n'ont qu'une vie et qui en prennent grand soin"".",,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Somer_Francis_Bacon.jpg,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,
XVIe siecle,Britannique,Francis Bacon,"Pour Bacon, la liberte s'acquiert par la connaissance. ""Pour transformer l'effet, il faut parvenir à transformer la cause"" et éviter les 4 ""idoles"", obstacle de l'intelligence: 
1- Idole de la tribu : Préjugés communs à tous les hommes et élaboration de raisonnement à partir de ses désirs
2- Idole de la caverne : Préjugés propres à soi issu de sa situation, éducation, hérédité
3- Idole du forum : La croyance à ce que nous nommons. Comme la chance qui nous incline à croire qu'il existe une force qui influence les événements. Imprécision du langage
4- Idole du théâtre : Syllogisme ou sophisme,  faire semblant de science ce qui n'en a pas
Comme la chance qui nous incline à croire qu'il existe une force qui influence les événements. Cela provient d'une imprécision du langage. L'imagination (au sens de superstition) peut être dangereuse si nous désirons être vrai ce qui ne l'est pas forcément.",,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Somer_Francis_Bacon.jpg,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,
XIXe siecle,Prussien/Allemand,Friedrich Nietzsche,"Le bonheur Nietschéen est plus d'aimer la vie malgré ses travers plutot que de la haïr dans ce qu'elle a de plus haissable; au risque d'être malheureux deux fois, sur terre et dans l'illusion du paradis imaginaire. Il faut donc savourer la vie, dans sa plus grande intensité et dangerosité. Nietzsche conceptualise cette idée derrière l'""Eternel retour"" : ""mène ta vie en sorte que tu puisses souhaiter qu’elle se répète éternellement"".Tout ce qui tourne autour de la religion (le paradis) et les valeurs morales qui en découlent sont imaginaires.",,,https://upload.wikimedia.org/wikipedia/commons/2/23/Nietzsche1882.jpg,,,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,
XIXe siecle,Prussien/Allemand,Friedrich Nietzsche,"Nietzsche n'est pas à proprement parlé un penseur de l'Etat mais il défend un régime aristocratique, où les forts gouvernent les faibles. Les régimes démocratiques qui succèdent aux autres types de gouvernement ne suppriment pas la classe aristocratique. Bien au contraire, les hommes forts s'adaptent et se doivent d'être plus subtils. Et donc finalement, il gagnent en force et en séduction. Nietzsche anticipe la normalisation des individus des sociétés occidentales et prévient de l'avènement du patriotisme, qui est pour lui le cri de railliement des faibles.",,,https://upload.wikimedia.org/wikipedia/commons/2/23/Nietzsche1882.jpg,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,x,,,,,,,,,
XIXe siecle,Prussien/Allemand,Friedrich Nietzsche,"Pour Nietzsche, l'époque moderne (à partir du XVIIIe et XIXe) se caractérise par un fait remarquable : ""la mort de Dieu"". La morale de la (techno)science remplace la morale de la foi chrétienne. En conséquence de quoi, la naissance du ""dernier homme"", désignant ce qu'il y a de plus méprisable dans les valeurs morales. Il n'a pas la ""puissance"" de créer, d'aimer, de trouver un sens (basé sur de nouvelles valeurs autant fausses que les anciennes judeo chretienne). Et finalement il jouit d'un bonheur superficielle. ",,,https://upload.wikimedia.org/wikipedia/commons/2/23/Nietzsche1882.jpg,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,x,,,,,,,,x
XIXe siecle,Prussien/Allemand,Friedrich Nietzsche,"Contrairement à la pensée commune, ce n'est pas une volonté profonde d'acquérir le pouvoir. C'est une force en même temps créatrice et destructrice qui pousse l'individu à lutter pour sa vie tant dans la recherche matérielle que spirituelle. C'est la force par excellence de l'affirmation de soi par rapport aux autres. Nietzsche la définie comme une force organique (provenant du corps), d'où son caractère inconscient. ",,,https://upload.wikimedia.org/wikipedia/commons/2/23/Nietzsche1882.jpg,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,x
XIXe siecle,Prussien/Allemand,Friedrich Nietzsche,"Par l'affirmation de sa volonté de puissance, l'homme se libère des dogmes de la morale ""des esclaves"". Il est supérieur aux autres et c'est le sens de l'homme, sa finalité. Caricaturé par les nazis, il n'est un fort qui doit opprimer les faibles. Il doit juste user de sa force créatrice pour se réaliser : ""deviens ce que tu es"".",,,https://upload.wikimedia.org/wikipedia/commons/2/23/Nietzsche1882.jpg,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,
XIXe siecle,Prussien/Allemand,Friedrich Nietzsche,"Nietzsche achève la métaphysique dans tous les sens du terme. Il dévaste le monde des idées, qu'il réduit à une vaste fumisterie, une simple fiction. Elle est basée sur le néant, ne représente pas le réel, mais le déni. Sa quête de pureté et sa dévalorisation du monde réel la renvoie à un mal profond, plein de souffrance et de vide. Les idees metaphysiques conduisent au Nihilisme. Crépuscule des Idoles: Le nihilisme est le fait de dénigrer le réel et la vie par rapport aux croyances d'un monde imaginaire suppose meilleur. Nietzsche détruit le monde des idées de Platon en le qualifiant de ""arrière monde"". Le nihilisme c'est le règne de l'absurde, de la vie sans sens où celui qui a perdu son optimisme pense naïvement que le problème vient du monde et non de lui. Autrement dit, c'est le fait de penser le monde non tel qu'il est mais tel qu'il devrait être. Nietzsche symbolise le nihilisme par la ""mort de Dieu"". ",,,https://upload.wikimedia.org/wikipedia/commons/2/23/Nietzsche1882.jpg,,,,,,,,,,,,,x,x,,,,,,,,,,x,x,,,,,,,,,,,,,
XIXe siecle,Prussien/Allemand,Friedrich Nietzsche,"""Le Bien et le Mal"": Il y a fondamentalement deux morales chez Nietzsche. La bonne morale dite ""aristocratique"" est basée sur les valeurs positives ou les valeurs qui permettent à l'individu de s'affirmer lui même, de laisser libre court à sa ""volonté de puissance"". La mauvaise morale est la distinction classique judeo-chretienne du bien et du mal, qui qui infantilise les croyants et est fondée sur le ressentiment et la mauvaise conscience. Cette morale est ""ascétique, l'oeuvre des esclaves"". 
L'éthique vs la Morale: Tout comme Spinoza, Nietzsche différencie Ethique et Morale. Pour faire très simple, user de la morale c'est juger avant de comprendre (voir la vie via des normes), user de l'éthique c'est comprendre avant de juger.",,,https://upload.wikimedia.org/wikipedia/commons/2/23/Nietzsche1882.jpg,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,x,,,,,,,,
XIXe siecle,Prussien/Allemand,Friedrich Nietzsche,"La religion est basée sur le nihilisme, le fait de dénigrer le monde sensible, la réalité au profit d'un monde ""halluciné"", fictif. La religion chrétienne qui a engendré les valeurs morales est fondée sur le ""ressentiment"", cette amertume et rancune incapables de construire quoi que ce soit positivement. La morale chrétienne est ""ascétique, l'oeuvre des esclaves"". Défendre l'immortalité dans un paradis imaginaire, ce serait montrer toute sa frustration et sa faiblesse dans le fait de vivre pleinement sa vie et cela témoignerait d'une tentative désespérée de déresponsabilisation de l'individu.",,,https://upload.wikimedia.org/wikipedia/commons/2/23/Nietzsche1882.jpg,,,,,,,,,,,,,,x,x,,,,,,,x,,,x,,,,,x,,,,,,,,
XIXe siecle,Prussien/Allemand,Friedrich Nietzsche,"Nietzsche défend l'idée que ""le contrat social"" est un basculement de pouvoir. Les forts de l'état de nature sont les faibles de l'état social, et inversement. Ce basculement est fondé sur les valeurs morales, généralement transmise par la religion, l'oeuvre des esclaves. Il ne faut pas défendre à tout prix l'égalité. Il défend un régime aristrocratique dans lequel gouverne les forts. ",,,https://upload.wikimedia.org/wikipedia/commons/2/23/Nietzsche1882.jpg,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,
XIXe siecle,Prussien/Allemand,Friedrich Nietzsche,"La verite est pour Nietzsch le moyen de voir le monde tel qu'il est et non de manière nihiliste, tel qu'il devrait être",,,https://upload.wikimedia.org/wikipedia/commons/2/23/Nietzsche1882.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
XIXe siecle,Prussien/Allemand,Friedrich Nietzsche,"L'art est destiné à embellir toute l'existence. Transmis par l'idéal du beau, il rappelle toute cette force vitale, cette volonté de puissance qui est en chacun de nous. L'art se distingue du travail car le premier se base sur la libération (le caractère intrinsèque de l'action) tandis que le second sur celui de la servitude (le caractère extrinsèque de l'action). Pour Nietzsche, Dionysos, Dieu grec de l'extase et du plaisir sensuel, symbolise cet élan déchaîné de force créatrice et destructrice. A l'inverse, Apollon, Dieu de la beauté et de la mesure, idéal du rêve et de l'illusion.",,,https://upload.wikimedia.org/wikipedia/commons/2/23/Nietzsche1882.jpg,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
XIXe siecle,Français,Gaston Bachelard,"Avoir des facultés d'ouvertures et d'innovation, voici les expressions de la vraie liberté de l'homme.La connaissance via la science n'est pas continue mais cisaillée. On y voit dans l'histoire des bouleversements brusques et des changements méthodologiques majeurs.L'histoire de la science n'est pas continue. Bachelard distingue trois périodes scientifiques : 
1-la préscientifique jusqu'au XVIII, 
2-l'état scientifique jusqu'au début XX (jusqu'à la théorie de la relativité) 
3-et l'actuelle encore aujourd'hui. 
Ces périodes se différencient en fonction de leur complexité et leur méthode d'analyse. Il y a ce qu'il appelle une ""rupture méthodologique"". 
Le rationnalisme ou la Psychanalyse de la science et de la raison: Permet de comprendre les fondements du savoir. La science et la raison ne sont plus considérées comme absolues mais relatives, elles sont platisques par le dialogue et l'expérience et doivent s'adapter au réel.",,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Gaston_Bachelard_1965.jpg,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,x,,,,,,,
